giocatore,squadra,ruolo,ruolo_fine,minuti,TPI_totale,TPI_casa,TPI_trasferta,TPI_vs_top6,TPI_vs_forti,TPI_ext_totale,totale_output_adj,totale_centralita,totale_boost_ratio,totale_consistenza,casa_output_adj,trasferta_output_adj,vs_top6_output_adj,vs_forti_output_adj,goal_tot,xg_tot_conv,conv_ratio,finishing_quality,goal_minus_xg,xg_p90,xa_p90,sos,form_ewma,form_trend,eta,eta_index,partite_disponibili,partite_giocate,n_infortuni,giorni_out,affidabilita_fisica,rank_TPI,rank_TPI_ext,rank_output_adj,rank_conv,rank_eta,rank_affidabilita,z_totale_output_adj,z_totale_centralita,z_totale_boost_ratio,z_totale_consistenza,z_conv_ratio,z_finishing,z_eta_index,z_affidabilita_fisica
Alexis Mac Allister,Liverpool,CEN,MEDIANO,311.0,-0.2815,-0.1554,-0.1554,-0.1663,-0.1554,-0.2373,0.1838,12.0728,,,,,,,0,0.09,,-0.3,-0.09,0.026,0.055,1.029,0.1128,-0.029,27.74,0.411,5,5,0,0,,210,231,121,184,185,137,-0.7042,-0.8497,,,,-0.176,-0.4802,
Josh Acheampong,Chelsea,DIF,CENTRALE,218.0,-0.2841,-0.3393,-0.3393,-0.3357,-0.3393,-0.1369,0.1275,10.9692,,,,,,,0,0.0,,,0.0,0.0,0.0,0.9782,0.0,,20.38,0.7466,5,4,0,0,,211,183,191,184,45,137,-0.7684,-1.2939,,,,,1.1628,
Virgil van Dijk,Liverpool,DIF,CENTRALE,450.0,-0.2849,-0.1864,-0.1864,-0.184,-0.1864,-0.2271,0.1194,11.3319,,,,,,,0,0.12,,-0.3464,-0.12,0.024,0.002,1.029,0.0309,0.188,35.21,0.1027,5,5,0,0,,212,227,212,184,265,137,-1.1847,-1.1481,,,,-0.2852,-1.8397,
Pep Chavarría,Chelsea,CEN,QUINTO,197.0,-0.2849,-0.1348,-0.1348,-0.1483,-0.1348,-0.1685,0.1868,10.811,,,,,,,0,0.03,,-0.1732,-0.03,0.014,0.032,0.9582,0.03,0.5,28.45,0.3462,5,5,0,0,,212,203,114,184,197,137,-0.5725,-1.2607,,,,0.1025,-0.7845,
Issa Diop,Ipswich,DIF,CENTRALE,450.0,-0.286,-0.1308,-0.1308,-0.1284,-0.1308,-0.2131,0.1197,11.9957,,,,,,,0,0.07,,-0.2646,-0.07,0.014,0.012,0.9836,0.0344,0.323,29.7,0.2556,5,5,0,0,,214,220,211,184,232,137,-1.1734,-0.8812,,,,-0.0976,-1.1267,
Lewie Coyle,Hull,DIF,TERZINO,359.0,-0.2911,-0.137,-0.137,-0.1341,-0.137,-0.2538,0.1244,12.9945,,,,,,,0,0.08,,-0.2828,-0.08,0.02,0.015,1.132,0.0338,0.088,30.93,0.1951,5,5,0,0,,215,236,198,184,243,137,-0.9318,-0.4797,,,,-0.1393,-1.4089,
Levi Colwill,Chelsea,DIF,CENTRALE,344.0,-0.2933,-0.1409,-0.1409,-0.1381,-0.1409,-0.1934,0.1225,10.8429,,,,,,,0,0.05,,-0.2236,-0.05,0.013,0.0026,1.0311,0.0,,23.57,0.7428,5,4,0,0,,216,213,203,184,50,137,-1.0286,-1.3446,,,,-0.0035,1.1451,
Reinildo,Sunderland,DIF,TERZINO,360.0,-0.2958,-0.3796,-0.3796,-0.377,-0.3796,-0.2649,0.126,12.3072,,,,,,,0,0.0,,,0.0,0.0,0.0425,1.0296,0.0,,32.67,0.1441,5,4,0,0,,217,239,194,184,254,137,-0.8457,-0.756,,,,,-1.6467,
Jarrad Branthwaite,Everton,DIF,CENTRALE,450.0,-0.2989,-0.3135,-0.3135,-0.3111,-0.3135,-0.1905,0.126,12.155,,,,,,,0,0.31,,-0.5568,-0.31,0.062,0.0,1.0693,0.0354,-0.429,24.24,0.7165,5,5,0,0,,218,211,195,184,66,137,-0.8482,-0.8172,,,,-0.7679,1.0225,
Mateus Fernandes,Tottenham,ATT,TREQUARTISTA,257.0,-0.3025,-0.2945,-0.2945,-0.2839,-0.2945,-0.0443,0.4701,17.2508,,,,,,,0,0.17,,-0.4123,-0.17,0.06,0.2591,0.9757,0.2761,0.004,22.2,0.7758,5,5,0,0,,219,134,55,184,11,137,-0.6113,-0.6062,,,,-0.3079,1.2174,
Adam Smith,Bournemouth,DIF,TERZINO,435.0,-0.3034,-0.0688,-0.0688,-0.1771,-0.0688,-0.3524,0.1221,11.5632,,,,,0.1382,,0,0.02,,-0.1414,-0.02,0.004,0.029,0.9328,0.0209,-0.347,35.4,0.1002,5,5,0,0,,220,250,205,184,267,137,-1.0501,-1.0551,,,,0.1851,-1.8514,
Mikey Moore,Tottenham,ATT,ALA,90.0,-0.3049,-0.3002,-0.3002,-0.2816,-0.3002,-0.1721,,,,,,,,,0,0.63,0.0,-0.7937,-0.63,0.63,0.02,1.0291,0.0857,,19.11,0.6911,5,2,0,0,,221,205,245,77,85,137,,,,,-1.1645,-0.8302,0.7471,
Kristoffer Ajer,Brentford,DIF,CENTRALE,450.0,-0.3058,-0.1556,-0.1556,-0.1532,-0.1556,-0.248,0.1254,10.8555,,,,,,,0,0.13,,-0.3606,-0.13,0.026,0.03,1.0208,0.0649,0.159,28.43,0.3479,5,5,0,0,,222,234,197,184,196,137,-0.8801,-1.3396,,,,-0.3178,-0.6963,
Justin Kluivert,Bournemouth,ATT,TREQUARTISTA,311.0,-0.3066,-0.206,-0.206,-0.1971,-0.206,-0.2382,0.4755,17.9808,,,,,,,1,1.08,0.926,-0.077,-0.08,0.313,0.0579,0.954,0.1625,,27.38,0.4468,5,4,0,0,,223,232,50,42,173,137,-0.449,-0.4476,,,0.2396,0.1512,-0.6096,
